time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.344017148017883301e+00
2.000000000000000042e-03,7.666172367187584552e-05,-1.652200486522949685e-04,7.297229699191723484e-02,-1.583575463769963110e-01,0.000000000000000000e+00,-1.469299674034118652e+00
4.000000000000000083e-03,2.991442058051475492e-04,-6.491642226098327285e-04,1.493785682711603613e-01,-3.253543437386030579e-01,0.000000000000000000e+00,-1.468856096267700195e+00
6.000000000000000125e-03,6.738490156050841928e-04,-1.466044409742566380e-03,2.252748558657944600e-01,-4.914328463760920807e-01,0.000000000000000000e+00,-1.468390464782714844e+00
8.000000000000000167e-03,1.200050370321206457e-03,-2.614531544619369367e-03,3.008916735452837887e-01,-6.569891528995375207e-01,0.000000000000000000e+00,-1.467900991439819336e+00
1.000000000000000021e-02,1.877255051169373842e-03,-4.093688981757400910e-03,3.762824617650235570e-01,-8.221095285003042763e-01,0.000000000000000000e+00,-1.467386245727539062e+00
1.200000000000000025e-02,2.705024967091836183e-03,-5.902662023264905120e-03,4.514571114885405634e-01,-9.868039963930839154e-01,0.000000000000000000e+00,-1.466845512390136719e+00
1.400000000000000029e-02,3.682923113110666939e-03,-8.040583226837009698e-03,5.264091141045514899e-01,-1.151053799158746171e+00,0.000000000000000000e+00,-1.466277837753295898e+00
1.600000000000000033e-02,4.810490781604661800e-03,-1.050653231447759919e-02,6.011241211205332613e-01,-1.314826332842174539e+00,0.000000000000000000e+00,-1.465682387351989746e+00
1.800000000000000211e-02,6.087235774703759345e-03,-1.329951526434622680e-02,6.755833578688253960e-01,-1.478081095832795233e+00,0.000000000000000000e+00,-1.465058088302612305e+00
2.000000000000000389e-02,7.512625280023645102e-03,-1.641845151060509350e-02,7.497651618352907388e-01,-1.640772352617172469e+00,0.000000000000000000e+00,-1.464403986930847168e+00
2.200000000000000566e-02,9.086080965026959236e-03,-1.986216498138700104e-02,8.236457672722696799e-01,-1.802850490477549306e+00,0.000000000000000000e+00,-1.463719129562377930e+00
2.400000000000000744e-02,1.080697522400006147e-02,-2.362937712068033380e-02,8.971997165113879680e-01,-1.964262722419597651e+00,0.000000000000000000e+00,-1.463002443313598633e+00
2.600000000000000921e-02,1.267462803397742706e-02,-2.771870094136212950e-02,9.704000775687086078e-01,-2.124953450315438364e+00,0.000000000000000000e+00,-1.462252974510192871e+00
2.800000000000001099e-02,1.468830415228065261e-02,-3.212863564856030529e-02,1.043218578160511001e+00,-2.284864489601939219e+00,0.000000000000000000e+00,-1.461469531059265137e+00
3.000000000000001277e-02,1.684721049743946250e-02,-3.685756155766444636e-02,1.115625660446576628e+00,-2.443935148656418477e+00,0.000000000000000000e+00,-1.460650920867919922e+00
3.200000000000001454e-02,1.915049362201856620e-02,-4.190373514831106233e-02,1.187590521256773668e+00,-2.602102290779741089e+00,0.000000000000000000e+00,-1.459795951843261719e+00
3.400000000000001632e-02,2.159723724782660476e-02,-4.726528421304946465e-02,1.259081136091479536e+00,-2.759300370148961790e+00,0.000000000000000000e+00,-1.458903551101684570e+00
3.600000000000001810e-02,2.418645984861368323e-02,-5.294020308241644684e-02,1.330064283776282608e+00,-2.915461474343296278e+00,0.000000000000000000e+00,-1.457972526550292969e+00
3.800000000000001987e-02,2.691711226360108886e-02,-5.892634789961671143e-02,1.400505553417142446e+00,-3.070515332815157095e+00,0.000000000000000000e+00,-1.457001209259033203e+00
4.000000000000002165e-02,2.978807530259871411e-02,-6.522143186727170916e-02,1.470369329578394169e+00,-3.224389281473618141e+00,0.000000000000000000e+00,-1.455988526344299316e+00
4.200000000000002343e-02,3.279815739835964528e-02,-7.182302058697592750e-02,1.539618854719948748e+00,-3.377008391595911263e+00,0.000000000000000000e+00,-1.454933166503906250e+00
4.400000000000002520e-02,3.594609233438145895e-02,-7.872852755313261564e-02,1.608216242507170879e+00,-3.528295495750665811e+00,0.000000000000000000e+00,-1.453833699226379395e+00
4.600000000000002698e-02,3.923053701576743879e-02,-8.593520973369322968e-02,1.676122507785568150e+00,-3.678171249196944714e+00,0.000000000000000000e+00,-1.452688813209533691e+00
4.800000000000002875e-02,4.265006932570634957e-02,-9.344016332793193824e-02,1.743297622394966107e+00,-3.826554245839361990e+00,0.000000000000000000e+00,-1.451496362686157227e+00
5.000000000000003053e-02,4.620318604020115516e-02,-1.012403196432928448e-01,1.809700517760175487e+00,-3.973361021642633162e+00,0.000000000000000000e+00,-1.450214982032775879e+00
5.200000000000003231e-02,4.988829818833574736e-02,-1.093324355756749855e-01,1.875286528994050350e+00,-4.118500656988032915e+00,0.000000000000000000e+00,-1.448881268501281738e+00
5.400000000000003408e-02,5.370372917225401527e-02,-1.177130899089212229e-01,1.940012707808343562e+00,-4.261885988026326011e+00,0.000000000000000000e+00,-1.448210239410400391e+00
5.600000000000003586e-02,5.764776362499762080e-02,-1.263787867125622244e-01,2.003883226633760284e+00,-4.403529451218149759e+00,0.000000000000000000e+00,-1.447699069976806641e+00
5.800000000000003764e-02,6.171866012655283923e-02,-1.353259824578418591e-01,2.066867886027868639e+00,-4.543371065508671869e+00,0.000000000000000000e+00,-1.447166085243225098e+00
6.000000000000003941e-02,6.591460416126018740e-02,-1.445509869813907666e-01,2.128923813442764157e+00,-4.681324226220369589e+00,0.000000000000000000e+00,-1.446611166000366211e+00
6.200000000000004119e-02,7.023369505605403518e-02,-1.540499361629568686e-01,2.190007745183048637e+00,-4.817301624988789222e+00,0.000000000000000000e+00,-1.446033716201782227e+00
6.400000000000004297e-02,7.467394529813285720e-02,-1.638187907237849128e-01,2.250076128264374198e+00,-4.951215459396310692e+00,0.000000000000000000e+00,-1.445433616638183594e+00
6.600000000000004474e-02,7.923328013104584400e-02,-1.738533356012595676e-01,2.309085296834430867e+00,-5.082977799316192424e+00,0.000000000000000000e+00,-1.444810628890991211e+00
6.800000000000004652e-02,8.390953747426548037e-02,-1.841491799935835727e-01,2.366991619125045077e+00,-5.212500890365572737e+00,0.000000000000000000e+00,-1.444164276123046875e+00
7.000000000000004829e-02,8.870046813844609246e-02,-1.947017580144450866e-01,2.423751646030887663e+00,-5.339697460117762695e+00,0.000000000000000000e+00,-1.443494200706481934e+00
7.200000000000005007e-02,9.360373637014766934e-02,-2.055063300276694094e-01,2.479322291785519106e+00,-5.464481091436526938e+00,0.000000000000000000e+00,-1.442800045013427734e+00
7.400000000000005185e-02,9.861692075727956919e-02,-2.165579847265987901e-01,2.533661013784872296e+00,-5.586766593412072268e+00,0.000000000000000000e+00,-1.442360520362854004e+00
